Country;GDP_USD;Population;GDP_per_capita;Bunker_fuel_consumption_TBPD;Bunker_residual_fuel_oil_consumption_TBPD;Crude_oil_including_lease_condensate_exports_TBPD;Crude_oil_including_lease_condensate_imports_TBPD;Crude_oil_including_lease_condensate_production_TBPD;Crude_oil_including_lease_condensate_reserves_BB;Distillate_fuel_oil_consumption_TBPD;Distillate_fuel_oil_production_TBPD;Jet_fuel_consumption_TBPD;Jet_fuel_production_TBPD;Kerosene_consumption_TBPD;Kerosene_production_TBPD;Liquefied_petroleum_gases_(LPG)_consumption_TBPD;Liquefied_petroleum_gases_(LPG)_production_TBPD;Motor_gasoline_consumption_TBPD;Motor_gasoline_production_TBPD;Natural_gas_plant_liquids_production_TBPD;Other_liquids_production_TBPD;Other_refined_products_consumption_TBPD;Other_refined_products_production_TBPD;Petroleum_and_other_liquids_CO2_emissions_MMTCD;Petroleum_and_other_liquids_consumption_TBPD;Petroleum_and_other_liquids_production_TBPD;Refined_petroleum_products_consumption_TBPD;Refined_petroleum_products_production_TBPD;Refinery_processing_gain_TBPD;Residual_fuel_oil_consumption_TBPD;Residual_fuel_oil_production_TBPD;Biomass_and_waste_electricity_installed_capacity_MK;Biomass_and_waste_electricity_net_generation_BKWH;Electricity_distribution_losses_BKWH;Electricity_exports_BKWH;Electricity_imports_BKWH;Electricity_installed_capacity_MK;Electricity_net_consumption_BKWH;Electricity_net_generation_BKWH;Electricity_net_imports_BKWH;Fossil_fuels_electricity_installed_capacity_MK;Fossil_fuels_electricity_net_generation_BKWH;Geothermal_electricity_installed_capacity_MK;Geothermal_electricity_net_generation_BKWH;Hydroelectric_pumped_storage_electricity_installed_capacity_MK;Hydroelectric_pumped_storage_electricity_net_generation_BKWH;Hydroelectricity_installed_capacity_MK;Hydroelectricity_net_generation_BKWH;Non-hydro_renewable_electricity_installed_capacity_MK;Non-hydro_renewable_electricity_net_generation_BKWH;Nuclear_electricity_installed_capacity_MK;Nuclear_electricity_net_generation_BKWH;Renewable_electricity_installed_capacity_MK;Renewable_electricity_net_generation_BKWH;Solar_electricity_installed_capacity_MK;Solar_electricity_net_generation_BKWH;Tide_and_wave_electricity_installed_capacity_MK;Tide_and_wave_electricity_net_generation_BKWH;Wind_electricity_installed_capacity_MK;Wind_electricity_net_generation_BKWH
Israel;310944937638.44;8215700;37847.65;2.2;1.7;0;225;0.4;0;51;110;18;22;5.8;2.8;14;13;62;65;0;0;49;44;26;206;5.7;206;300;5.3;7.7;43;0;0;1.7;4.8;0;16;51;57;-4.8;15;56;0;0;0;0;0;0;0.7;0.9;0;0;0.7;1;0.7;0.9;0;0;0;0
Italy;2162009615996.54;60789140;35565.72;42;33;12;1059;106;0.6;568;612;81;46;13;14;102;52;205;343;0;34;226;242;168;1266;176;1266;1418;35;73;109;3.8;21;19;3;47;122;295;270;44;67;149;0.8;5.6;7.6;-0.6;15;58;32;64;0;0;47;122;19;22;0.3;0.7;8.7;15
Jamaica;13899228824.22;2875137;4834.28;7.7;3.4;0;19;0;0;8.4;2.9;4;1.7;0;0;2.4;0.2;9;2.4;0;3;1.7;1.7;8.4;53;2.5;53;20;-0.5;28;11;0;0;1.1;0;0;1;2.8;3.9;0;0.9;3.6;0;0;0;0;0;0.1;0;0.2;0;0;0.1;0.3;0;0;0;0;0;0.1
Japan;4896994405353.29;127276000;38475.40;66;64;0;3205;4.8;0;806;940;220;260;298;291;499;139;922;920;11;0.6;1130;640;528;4288;108;4288;3536;91;411;347;1.6;15;44;0;0;263;983;1027;0;189;900;0.5;2.3;27;-1.5;22;83;24;46;0;0;46;129;19;23;0;0;2.8;5.2
Jordan;36847643521.13;8918822;4131.45;7.1;0;0;63;0;0;68;19;7;6.9;1;1.3;11;3;27;15;0;0;2;4.7;23;153;0.4;153;65;0.4;37;16;0;0;2;0;0.4;4.2;16;17;0.4;4.2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kazakhstan;221415572819.50;17288285;12807.26;4.9;0;1368;19;1632;30;78;108;6.8;6.5;3.6;2.4;15;31;89;71;84;0;31;24;34;249;1719;249;317;3.1;26;75;0;0;7.1;2.9;1.7;25;82;90;-1.2;23;82;0;0;0;0;2.7;8.2;0.1;0.1;0;0;2.8;8.3;0;0;0;0;0;0
Kenya;68285768554.47;46700063;1462.22;12;0.7;0;12;0;0;36;3.3;11;2.2;6.3;1;4.8;0.4;21;1.8;0;0.9;2.7;1.9;13;90;0.8;90;14;0;7.3;3.7;0;0.1;1.6;0;0;2.2;7.6;9.2;0;0.7;1.6;0.6;4.1;0;0;0.8;3.3;0.7;4.3;0;0;1.5;7.5;0;0;0;0;0;0
Kuwait;162631412508.78;3690939;44062.34;37;19;1995;0;2692;102;78;221;16;53;2;130;4;5.7;67;57;200;0;167;232;56;451;2892;451;897;-0.1;117;198;0;0;5.8;0;0;16;55;61;0;16;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Latvia;31386896487.04;1993782;15742.39;6.8;3;0;0;0;0;20;0;2.3;0;0;0;3;0;5;0;0;1.6;1.7;0;4.9;35;1.6;35;0;0;3;0;0.1;0.7;0.5;3;5.3;3;6.7;4.8;2.3;1.2;2.1;0;0;0;0;1.6;2;0.2;0.8;0;0;1.8;2.8;0;0;0;0;0;0.1
Libya;57372445771.77;6362039;9017.93;4.3;1.7;358;0;530;48;112;26;3;8;5;2.4;10;1.8;89;12;47;0;17;20;37;269;576;269;102;-0.8;33;31;0;0;7.2;0;0;9.5;28;35;0;9.5;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithuania;48533659592.17;2932367;16551.02;1.8;0;1.3;149;2;0;27;52;1.9;21;0;0;5.5;9;4.7;49;0;2.6;10;15;7.3;52;8.4;52;175;3.8;2.2;29;0;0.4;0.8;0.9;8.5;3.9;9.9;3.1;7.6;2.5;1.8;0;0;0.8;-0.3;0.1;0.4;0.5;1.2;0;0;0.6;1.5;0;0;0;0;0.3;0.6
Malaysia;338061963396.38;29866606;11319.06;57;3.8;249;210;603;4;226;193;64;61;0.5;2.1;78;33;283;109;35;23;65;75;99;737;671;737;523;9.8;21;50;1.4;0.7;13;0;0;31;127;139;0;24;125;0;0;0;0;4.8;13;1.6;0.9;0;0;6.4;14;0.2;0.2;0;0;0;0
Mexico;1315351183524.54;120355137;10928.92;16;1.6;1208;0;2469;10;429;396;65;53;1;0;309;26;751;407;320;0.5;320;242;266;2040;2814;2040;1383;25;165;260;0.6;1.4;41;2.7;2.1;67;248;290;-0.5;49;229;0.8;5.7;0;0;12;39;4.1;14;1.3;9.3;17;52;0.1;0.2;0;0;2.6;6.4
Morocco;110081248587.37;34192358;3219.47;16;2.1;0;108;0.2;0;106;47;14;20;0;0;74;3.3;13;7.7;0;0;40;30;38;281;0;281;139;0;34;32;0;0;5.2;0.1;6.1;11;27;26;6;8.7;23;0;0;0.5;-0.1;1.3;1.6;0.8;1.9;0;0;2.1;3.6;0;0;0;0;0.8;1.9
Netherlands;892167986713.72;16865008;52900.54;212;184;12;959;29;0.1;169;425;76;150;2.6;8.3;101;52;88;148;8.3;37;286;281;120;932;91;932;1214;15;209;150;1.2;6.6;4.9;18;33;32;110;100;15;26;83;0;0;0;0;0;0.1;5.1;13;0.5;3.9;5.2;13;1;0.7;0;0;2.9;5.8
NewZealand;201313497220.92;4516500;44572.90;5.3;4.2;34;100;39;0;57;41;23;21;0;0;4.8;0;53;30;7.3;0.3;13;9.6;22;156;51;156;111;4.6;5.3;9.3;0.1;0.8;2.8;0;0;9.8;40;43;0;2.7;8.4;0.9;7.2;0;0;5.4;24;1.8;10;0;0;7.1;34;0;0;0;0;0.7;2.2
Nicaragua;11880434070.78;6142734;1934.06;0.4;0;0;14;0;0;11;4.4;0.6;0.6;0.1;0.1;3.3;0.3;6.3;2.3;0;0.2;2.1;1.1;4.6;32;0;32;14;-0.2;8.7;5.6;0.1;0.5;0.9;0;0;1.5;3.4;4.3;0;0.9;1.9;0.2;0.7;0;0;0.1;0.4;0.5;2;0;0;0.6;2.4;0;0;0;0;0.2;0.9
Nigeria;546676374567.72;176404931;3098.99;14;4.7;2120;0;2347;37;60;13;8;1;54;13;1;2.4;300;13;50;5;14;14;62;454;2405;454;75;3.3;17;18;0;0;4.8;0;0;11;26;31;0;8.5;25;0;0;0;0;2.1;5.3;0;0;0;0;2.1;5.3;0;0;0;0;0;0
Norway;498410050251.26;5137232;97019.18;2.7;1.4;1294;25;1562;5.8;100;131;20;12;0.7;2.4;23;12;22;77;327;0.2;53;51;27;222;1893;222;315;3.8;2.3;31;0.2;0.5;7.6;22;6.3;34;117;140;-16;1.4;3;0;0;1.4;-0.3;30;135;1.1;2.7;0;0;31;138;0;0;0;0;0.9;2.2
Oman;92699089726.92;4027255;23017.93;33;22;804;0;943;5;51;54;11;13;0;0;5;10;64;69;7;0;12;21;26;165;951;165;224;1;22;55;0;0;3.2;0;0;8.2;24;27;0;8.2;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pakistan;244360888750.81;195305012;1251.18;6;1.7;9.5;167;94;0.3;152;92;14;15;3.7;3.7;20;6.4;111;38;4;0.2;20;43;75;498;98;498;254;0.2;176;57;0.3;0;18;0;0.4;25;84;102;0.4;17;64;0;0;0;0;7.2;32;0.7;1;0.7;4.6;7.9;33;0.2;0.2;0;0;0.3;0.8
PapuaNewGuinea;23210682538.39;7946733;2920.78;1.3;0.1;0;0;49;0.2;14;8.1;1;0;0.9;2;0.5;0.4;0.8;0;0;0;1.2;7.1;4.6;29;49;29;21;0;11;3.2;0;0;0.3;0;0;0.6;3.4;3.6;0;0.3;2.6;0;0;0;0;0.2;1;0;0;0;0;0.3;1;0;0;0;0;0;0
Peru;200789362451.57;30090372;6672.88;17;0;16;85;69;0.6;92;75;17;15;1.2;1.2;49;5.8;31;45;103;2.8;22;14;30;224;178;224;187;3;12;31;0.2;1.3;5;0;0;10;39;44;0;6.5;20;0;0;0;0;3.4;22;0.4;1.7;0;0;3.8;24;0.1;0.2;0;0;0.1;0.3
Philippines;297483247101.04;100513137;2959.65;24;1.2;18;178;38;0.1;143;61;35;17;2.9;1.2;35;9.6;70;30;0;4.9;23;18;49;348;45;348;169;1.8;40;33;0.1;0.2;7.3;0;0;19;66;74;0;12;54;1.9;10;0.7;0;3.5;9;2.4;11;0;0;6;20;0;0;0;0;0.3;0.2
Poland;542477096211.76;38011735;14271.31;1.9;1.3;8.5;479;19;0.2;244;217;13;24;0;0;75;18;83;83;0;28;74;110;63;504;54;504;518;6.1;15;65;0.8;7.1;10;11;14;36;134;142;2.2;29;126;0;0;1.8;-0.3;0.6;2.2;4.7;15;0;0;5.3;17;0;0;0;0;3.8;7.6
Portugal;229901964221.88;10401062;22103.70;8.4;7.1;0;213;0;0;96;105;23;20;0;0;32;5.8;25;43;0;7.6;38;47;31;233;11;233;261;3.4;19;41;0.6;3.3;5.2;6.3;7.2;19;47;51;0.9;7.5;20;0;0.2;1.3;-0.2;4.4;15;5.9;16;0;0;10;32;0.4;0.6;0;0;4.9;12
Qatar;206224598564.62;2459202;83858.34;27;0;613;0;1424;25;45;45;27;63;0;0;30;12;39;46;356;152;95;111;33;240;1940;240;285;7.7;3.6;8.1;0;0;2.3;0;0;8.8;34;36;0;8.8;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Romania;199959363430.07;19908979;10043.68;5.5;0;1;135;83;0.6;92;106;3.9;8.1;0.2;0.2;16;18;33;70;6.7;2.8;34;28;25;185;102;185;235;9.6;6;5.9;0;0.5;7.1;9.9;2.8;24;48;62;-7.1;11;25;0;0;0.4;-0.1;6.3;19;4.6;8.3;1.3;11;11;27;1.3;1.6;0;0;3.2;6.2
Russia;2059241965490.83;143819667;14318.22;413;118;4500;15;10107;80;721;1575;242;295;0;0;490;588;853;910;720;9.3;1058;1229;420;3607;10853;3607;6174;17;243;1577;1.4;3.1;107;15;6.6;259;891;1006;-8;182;660;0;0.5;1.2;-1;50;174;1.5;3.7;25;169;51;177;0;0.2;0;0;0;0
SaudiArabia;756350347320.38;30916603;24464.21;109;59;7120;0;9905;266;753;753;66;80;8;131;511;44;522;441;1338;80;1239;289;398;3537;11334;3537;2221;10;438;481;0;0;21;0;0;66;295;316;0;66;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;19797254643.12;14174740;1396.66;6.9;0;0.4;17;0;0;18;9.6;5.7;0.3;0;0;3.4;0;1.1;0.7;0;0;4.1;2.7;6.6;43;0;43;17;0;11;3.3;0;0;0.6;0;0.3;0.9;3.4;3.7;0.3;0.8;3.3;0;0;0;0;0;0.3;0;0;0;0;0.1;0.4;0;0;0;0;0;0
Serbia;47062206677.65;7130576;6600.06;1.8;0;0;29;17;0;32;24;1.4;2.4;0;0;9.5;5.1;9.2;11;1;0;14;19;9.1;70;19;70;68;1.6;4.4;7.5;0;0;5.2;5.4;7;7.3;28;32;1.6;4.3;21;0;0;0.6;-0.3;2.4;11;0;0;0;0;2.4;11;0;0;0;0;0;0
Singapore;314851156183.41;5469724;57562.53;924;750;12;954;0;0;59;217;147;208;0;3.6;5;11;20;249;0;15;216;246;187;1236;36;1236;994;21;788;59;0.2;1.4;1;0;0;13;46;47;0;13;45;0;0;0;0;0;0;0.2;1.5;0;0;0.2;1.5;0;0;0;0;0;0
Slovakia;101089178418.03;5418649;18655.79;0;0;0.2;107;0.2;0;32;57;0.7;1.7;0.3;0;3.3;4.8;13;31;0;7.7;21;23;9.4;73;11;73;126;2.7;2.9;8.8;0.3;1.4;0.7;12;13;8;25;25;1.1;2.8;4.6;0;0;0.9;0;1.6;3.8;0.8;2.2;1.8;14;2.4;5.9;0.5;0.6;0;0.1;0;0
Slovenia;49997186439.09;2061980;24247.17;1;1;0;0;0;0;33;0;0.5;0;0;0;2.4;0;10;0;0;0;3.2;0;7.3;50;0;50;0;0;1.2;0;0;0.3;0.8;10;7.3;3.5;13;16;-2.7;1.2;3.7;0;0;0.2;0;1.1;6;0.3;0.5;0.7;6.1;1.4;6.5;0.2;0.3;0;0;0;0
SouthAfrica;381198869776.11;54544184;6988.81;69;20;3.3;416;3;0;235;157;40;37;9.4;9.4;8.7;8.9;188;185;5;140;93;39;87;611;161;611;486;13;38;49;0.2;0.4;21;14;11;46;212;235;-2.7;40;218;0;0;1.4;-1;0.7;0.9;2;2.4;1.9;15;2.6;3.3;1.2;1;0;0;0.6;1.1
SouthKorea;1484318219633.63;50746659;29249.58;152;136;0;2525;0;0;432;868;119;370;46;49;226;67;201;397;0;27;1105;871;229;2348;81;2348;2772;54;219;148;0.7;2.2;18;0;0;100;506;524;0;68;366;0;0;4.7;-1.6;1.8;2.7;4.2;7.3;21;149;6;10;2.5;2.5;0.4;1.4;0.6;1.1
Spain;1371222712535.68;46480882;29500.79;145;119;0;1192;6.2;0.2;579;561;114;4.2;0;188;53;51;107;169;0;32;186;203;174;1200;64;1200;1255;26;161;79;1.2;6.1;26;16;12;106;234;264;-3.4;49;102;0;0;5.1;-1.4;14;39;31;70;7.1;55;45;109;7;13;0;0;23;51
SriLanka;79356449840.58;20778000;3819.25;18;6.2;0;36;0;0;41;10;10;3.6;2.6;1.4;7.4;0.9;20;3.6;0;0;4.3;3.8;15;106;-0.3;106;36;-0.3;21;12;0;0;1.4;0;0;4;11;12;0;2.2;7.1;0;0;0;0;1.6;4.5;0.2;0.3;0;0;1.8;4.8;0;0;0;0;0.1;0.3
Sudan;76818327441.65;37977657;2022.72;5.3;0;55;0;114;5;44;34;5.3;2.6;0;0;15;10;19;25;0;0.7;13;8.4;15;107;116;107;90;1.6;10;9.6;0.2;0.1;3.5;0;0;3.5;7.8;11;0;1.7;2.3;0;0;0;0;1.6;8.8;0.2;0.1;0;0;1.8;9;0;0;0;0;0;0
Suriname;5240606060.61;553278;9471.92;1;0;0;0;15;0;4.7;0.6;1;0;0;0;0.5;0;3.5;0;0;0;0.1;0.1;2.4;15;15;15;3.9;-0.2;5.4;3.1;0;0;0.2;0;0.4;0.5;2.2;1.9;0.4;0.3;1.4;0;0;0;0;0.2;0.6;0;0;0;0;0.2;0.6;0;0;0;0;0;0
Sweden;581964017237.10;9696110;60020.36;32;26;0;378;0;0;105;150;19;5.4;0;0;31;13;64;112;0;5.7;49;71;40;302;12;302;407;5.8;34;56;4.9;12;7.3;29;14;39;127;150;-16;3.2;1.7;0;0;0;0;16;63;10;23;9.5;62;26;86;0;0;0;0;5.1;11
Switzerland;734396591036.93;8188649;89684.71;0;0;0;99;0;0;114;54;34;0.4;0;0;5.3;5.5;62;33;0;0.1;14;6.4;33;230;3;230;106;2.9;0.7;7;0.4;3;4.7;34;29;19;55;65;-5.5;0.3;0.5;0;0;9.8;-0.7;3.9;35;1.5;3.9;3.3;26;5.5;39;1.1;0.8;0;0;0;0.1
Syria;22075987601.93;18710711;1179.86;5.2;0.4;1.3;83;23;2.5;49;35;2;3.5;0;0;14;1.9;21;10;9.7;0;8;19;18;127;31;127;112;-1.6;33;42;0;0;4.5;0.1;0;9.6;15;20;-0.1;8.1;18;0;0;0;0;1.5;2.3;0;0;0;0;1.5;2.4;0;0;0;0;0;0
Thailand;407339454060.68;68438748;5951.88;95;19;11;832;233;0.4;364;415;95;114;0.2;11;241;61;147;170;203;38;354;338;136;1252;493;1252;1221;19;52;113;2.8;7.2;11;2.1;12;39;162;163;10;30;148;0;0;1;0;3.5;5.5;4.4;8.9;0;0;7.9;14;1.3;1.4;0;0;0.2;0.3
TrinidadandTobago;27642525749.35;1362337;20290.52;13;6.9;33;74;68;0.7;13;17;7.1;10;0.7;0.7;1;0.5;12;17;33;2;6.7;15;6.9;49;102;49;109;-1.1;8.3;49;0;0;0.2;0;0;2.5;8.6;8.9;0;2.5;8.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tunisia;50271072627.67;11063195;4543.99;6;0;44;25;50;0.4;37;13;6;0;1.1;1.1;16;0.9;13;0;4;0;16;9.1;13;96;53;96;35;-0.4;7;11;0;0;2.8;0.6;0.5;5;15;18;0;4.7;17;0;0;0;0;0;0;0.3;0.5;0;0;0.3;0.6;0;0;0;0;0.2;0.5
Turkey;938952628604.07;77229262;12157.99;19;16;0;353;48;0.3;363;127;76;77;0.9;1.2;119;22;45;92;0;2;121;70;103;763;56;763;457;6;37;68;0.2;1.1;37;2.7;8;66;187;219;5.3;38;168;0.4;2;0;0;24;40;4.4;12;0;0;28;52;0;0;0;0.3;3.6;8.5
Turkmenistan;43524210526.32;5466324;7962.24;10;0;64;0;239;0.6;43;57;10;10;3.2;3.2;32;12;35;61;21;0;13;15;21;155;263;155;191;2.8;19;33;0;0;2.5;3.2;0;4;13;19;-3.2;4;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ukraine;133503411375.74;45272155;2948.91;2.8;0;0.8;7.3;40;0.4;116;17;3.2;0;0;0;28;14;66;17;20;0.8;29;20;33;246;65;246;78;4;3;10;0;0.1;20;8.5;0;56;143;171;-8.4;35;78;0;0;1.2;-0.3;4.7;8.4;1.4;1.7;13;83;6;10;0.8;0.4;0;0;0.5;1.1
UnitedArabEmirates;403137207534.97;9214182;43751.82;388;271;2651;0;3010;98;75;79;127;135;0;0;51;30;177;87;521;0;57;150;113;789;3542;789;508;11;302;27;0;0;7.2;0.3;0.2;29;102;110;0;29;109;0;0;0;0;0;0;0.1;0.3;0;0;0.1;0.3;0.1;0.3;0;0;0;0
UnitedKingdom;3087165602962.86;64602298;47787.24;45;19;569;940;787;3;612;445;242;100;69;45;75;76;300;364;53;30;187;176;208;1518;910;1518;1301;40;32;96;4.6;25;55;2.7;23;96;287;321;21;59;197;0;0;2.7;-1;1.7;5.9;23;61;9.4;58;25;67;5.5;4.1;0;0;13;32
UnitedStates;17550680174000.00;318386329;55123.85;685;161;351;7344;8789;37;4037;4916;1470;1541;9;19;1348;648;8921;9571;3015;1273;3058;2523;2263;19100;14158;19100;19653;1081;257;435;16;77;244;13;67;1076;3915;4105;53;774;2751;2.5;16;22;-6.2;80;259;101;304;99;797;180;563;18;29;0;0;64;182
Uruguay;57236013086.12;3400439;16831.95;5.9;2;0;37;0;0;19;16;1.7;1.8;0.1;0.1;4.1;2.6;13;11;0;1.2;5.1;3.6;7.4;52;2.1;52;42;0.9;8.9;7.1;0.4;1.9;1.3;1.3;0;4.1;10;13;-1.3;1.7;0.6;0;0;0;0;1.5;9.6;0.9;2.7;0;0;2.4;12;0;0;0;0;0.5;0.7
Uzbekistan;80845384375.12;30757700;2628.46;0;0;0;13;64;0.6;18;21;2.5;2.5;0.9;0.9;0.6;0.6;24;24;0;0;9.2;10;8.1;60;66;60;64;1.3;4.4;4.4;0;0;9.2;7.2;6.4;13;43;53;-0.8;11;47;0;0;0;0;1.8;6;0;0;0;0;1.8;6;0;0;0;0;0;0
Venezuela;482359318767.70;30042973;16055.65;29;15;1729;0;2500;298;237;247;13;62;1;1.4;125;6.8;266;277;175;0;66;164;99;780;2684;780;1028;9;72;270;0;0;43;0.9;0;32;57;100;-0.9;17;37;0;0;0;0;15;64;0;0;0;0;15;64;0;0;0;0;0;0
Vietnam;233449971628.52;91713850;2545.42;19;3.4;187;14;307;4.4;135;59;19;2.1;0.6;0;43;12;105;52;8;0.5;62;3.2;50;379;319;379;132;3.5;14;4.2;0.1;0;13;0.9;2.3;33;122;133;1.4;18;74;0;0;0;0;15;59;0.2;0.2;0;0;15;59;0;0;0;0;0;0
Yemen;43228585321.33;25823488;1674.00;3.7;0.3;84;0;125;3;62;16;2;6.2;2;1.8;27;2;39;3.8;0;0;5;16;21;154;125;154;57;0;17;11;0;0;1.9;0;0;1.5;5.3;7.2;0;1.5;7.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zambia;27141023558.08;15399793;1762.43;0.8;0;0;11;0;0;9.4;7.5;0.8;0.8;0.3;0.7;0.4;0.4;7;2.2;0;0;2.2;0.9;3.2;22;0.1;22;14;0.1;2.3;1.8;0;0;2.2;1.3;0;2.5;11;14;-1.2;0.2;0.4;0;0;0;0;2.3;14;0;0;0;0;2.3;14;0;0;0;0;0;0
Zimbabwe;19495519600.00;13586710;1434.90;0.2;0;0;0;0;0;17;0;0.2;0;1;0;0.4;0;7.9;0;0;0.7;0.5;0;3.9;27;0.7;27;0;0;0;0;0.1;0.1;1.6;1.2;1.1;2.1;8;9.7;0;1.2;4.2;0;0;0;0;0.8;5.4;0.1;0.1;0;0;0.9;5.5;0;0;0;0;0;0
